Timestamp,Building,Floor,Range Number,Section Number,Shelf Number,Call No. Leading Alpha ,Call No. Leading Numeric,Call No. Ending Alpha ,Call No. Ending Numeric,Occupied Space,Stacked
5/24/2017 15:36:50,ZIM,2,5,9,2,B,751,B,755,28,No
5/24/2017 15:37:32,ZIM,2,5,9,3,B,755,B,759,36,No
5/24/2017 15:40:34,ZIM,2,5,9,4,B,759,B,765,31,No
5/24/2017 15:41:26,ZIM,2,5,9,5,B,765,B,765,25,No
5/24/2017 15:42:11,ZIM,2,5,9,6,B,765,B,765,30,No
5/24/2017 15:42:49,ZIM,2,5,10,1,B,765,B,765,33,No
5/24/2017 15:43:30,ZIM,2,5,10,2,B,765,B,765,31,No
5/24/2017 15:44:00,ZIM,2,5,10,3,B,765,B,765,30,No
5/24/2017 15:44:27,ZIM,2,5,10,4,B,765,B,765,30,No
5/24/2017 15:45:02,ZIM,2,5,10,5,B,765,B,765,34,No
5/24/2017 15:45:37,ZIM,2,5,10,6,B,765,B,765,32,No
5/24/2017 15:46:20,ZIM,2,5,11,1,B,765,B,765,29,No
5/24/2017 15:46:50,ZIM,2,5,11,2,B,765,B,765,33,No
5/24/2017 15:47:35,ZIM,2,5,11,3,B,765,B,776,32,No
5/24/2017 15:50:24,ZIM,2,5,11,4,B,776,B,779,33,No
5/24/2017 15:51:09,ZIM,2,5,11,5,B,779,B,783,33,No
5/24/2017 15:52:12,ZIM,2,5,11,6,B,783,B,785,27,No
5/24/2017 15:52:44,ZIM,2,5,12,1,B,785,B,785,24,No
5/24/2017 15:53:20,ZIM,2,5,12,2,B,785,B,785,32,No
5/24/2017 15:54:47,ZIM,2,5,12,3,B,785,B,785,34,No
5/24/2017 15:55:42,ZIM,2,5,12,4,B,785,B,785,31,No
5/24/2017 15:56:34,ZIM,2,5,12,5,B,785,B,790,25,No
5/24/2017 15:57:04,ZIM,2,5,12,6,B,790,B,791,29,No
5/24/2017 15:57:40,ZIM,2,5,13,1,B,791,B,791,30,No
5/24/2017 15:58:16,ZIM,2,5,13,2,B,791,B,792,30,No
5/24/2017 16:59:44,ZIM,2,5,13,3,B,792,B,793,30,No
5/24/2017 17:00:07,ZIM,2,5,13,4,B,793,B,799,29,No
5/24/2017 17:00:32,ZIM,2,5,13,5,B,799,B,801,27,No
5/24/2017 17:01:00,ZIM,2,5,13,6,B,801,B,802,24,No
5/24/2017 17:01:20,ZIM,2,5,14,1,B,785,B,802,36,No
5/24/2017 17:01:42,ZIM,2,5,14,2,B,802,B,803,29,No
5/24/2017 17:02:04,ZIM,2,5,14,3,B,803,B,804,32,No
